dyu,fr,dyu_len,fr_len
a kɛra ko ba ye,une grosse partie est engagée,15,29
nin dumunikɛyɔrɔ nin la nɔgɔ,ce restaurant nest pas cher,28,27
n ka dencɛ ni ne yɛrɛ an bina ko bɛɛ kɛ,mon fils et moi nous sommes prêts à tout,39,40
a janya ye juma ye,quel est votre taille ,18,22
a yi jon le ye,questce quil est ,14,17
muso la mɔgɔ min jaabka gɛlɛn o bɛ cɛma,la plus courageuse,39,18
n ɲamuni lo ni grip ye,je suis brouillé avec grimm,22,27
a ba nun samana nin murabagatɔ ni,le morveux comme il grimpe,33,26
lafiɛ tuma ye wagati juma,c’est quand les vacances ,25,25
horas ka fɛta ra,à propos d’horace,16,18
o tumana o yi gɛrɛgɛrɛ kɔrɔbɔ,ils prennent donc un risque,29,27
i ma n ka vɛsi ye wa,florence astu vu ma veste,20,25
wagati dɔ ra o ye nigɛ gosi,un temps on sonne,27,17
n ga kumakan n bi na ɲafɔ kaɲɛ,je vais étayer mon propos,30,25
ko ɲan nin bi na a maloya,et ce lhumilia,25,14
a kaɲi ele fɛ do,eh bien et toi ,16,15
a ti se ka bali,ca ne peut pas nuire…,15,21
i ɲana filɛ kadi,tu as une mine superbe,16,22
miseline ya bɛɛ fɔ n ye,micheline m’a tout dit,23,22
nan n bolora,viens dans mes bras,12,19
nan kɔ ni fara ni lo na ye,le jardin en est plein…,26,23
n tina sans,je ne l’achèterai pas,11,21
jonka donkili le,de qui est la musique ,16,22
lutigi ti siran a ya fɔ,au nautilus » ditil,23,19
n nakun tun ye ni ye,cétait ma mission icibas,20,24
a digira la,il la crut il fut furieux,11,25
o bi welé ni kèra,on sonne au téléphone,17,21
jii don yiri nunuw kɔrɔ,il faut arroser ces plantes,23,27
o bi nan n kɔrɔmuso kanu,on aimera ta sœur,24,17
karl ya ka deen fa ye,karl barth est son parrain,21,26
nin jɛnkulu ni ye a degibagatɔw le ye,les clubs sont amateurs,37,23
ow sigi nin do niw yɔrk,son siège est basé à new york,23,29
an ka muso wilila fama cɛ kan,notredame cria le roi,29,21
i filila yɔrɔ jumɛ,quelle est votre erreur,18,23
yɔrɔ gwanino bi,il fait chaud aujourdhui,15,24
a ka taga bi na mɛ,il est parti pour longtemps,18,27
a bamuso tun ye mari nicola ye,sa mère était marie nicolas,30,27
nin jati n ye,contez ça pour moi,13,18
olu o tun ba kalan na,elles elles lisaient,21,20
ka na sira tigɛ,ne pas traverser la route,15,25
a bi siran na,vous avez peur ,13,15
i ta miriya ta ye jumɛ le ye,qu’en pensestu ,28,15
aw ti na tɛmɛ a ra,»vous ne la passerez pas,18,24
rɔm ka hamina ko bɛ tiɲɛna,le rêve de rome sécroulait,26,26
an ga taga an ɲa lɔ a kan,allons jeter un œil,25,19
o sɔnna an tara,ils sont daccord avec nous,15,26
binaani ani ko kelen,quarante et une choses,20,22
i bi barakɛ mi,où travaillestu ,14,16
i tɔgɔ ko di,comment t’appellestu ,12,21
n man teli,je ne vais pas hardi vite,10,25
mɔgɔ min bɛ kumala mɔgɔla,lavant avantdernier,25,19
o ka ca kojugu,ils sont trop nombreux,14,22
nin tulokɛnani ɲɔngɔn bi n fɛ lukɔnɔn,jai le même jeu à la maison,37,27
dondo bi kasi lonbɛ sɔgɔma,le coq chante tous les matins,26,29
ɔrɔbu jumɛ le bi fɛ ora sa,quelle robe astu donc ,26,22
a ye mule fɔ,questce que vous avez dit ,12,26
a bi se ka a yɛrɛsɔrɔ,vous pouvez vous trouver,21,24
an ye sebaya sɔrɔ,hourra on a gagné,17,17
n ba loɔn,je le sais… je le sais,9,22
ɔnhɔn pɔtɔpɔtɔ te yi,mais non pas de la boue ,20,24
an ga kumakan o kɔni,parlonsen en effet,20,18
kɛlɛni bi tara ɲɛ,la guerre continue,17,18
o yi boɲɛ lase a ma,on lui a rendu hommage,19,22
a ka kɛnɛ wa ,vous vous sentez bien ,13,22
a fari yɛlɛma na,son corps aussi a muté,16,22
aw kana yɛlɛ dɔni,peu ne rient pas,17,16
nin kɛ cogo nin bi mun fɔ a ye ,qu’en estil de ce critère,31,25
musodafani min ti siran mɔgɔsiɲɛ nin lo,cest une fille robuste et qui ne craint personne,39,48
yan n ɲumanbolo fɛ n ka tabadaga duguma,là… à droite… sous ma pipe,39,26
nin ti i diana mɔgɔ ye,ça ce n’est pas un crayon,22,25
sigi yɔrɔ deni nɛrɛmuguman den wɔɔrɔ,six petites chaises jaunes,36,26
mu kama aw bi n ɲinigana nin na,pourquoi me le demandezvous ,31,28
ana bamuso bi kilo kɛ yi,elle y joue la mère danna,24,25
a yi hɛkɛto sigi yɔrɔ bé yi,asseyezvous s’il vous plait,27,27
a kɔrɔ bayala,elle est assez grande,13,21
a gɛɛ ni lo i nafɔ kafe nɔnɔlanan,blanc comme du café au lait ,33,28
i ya famu sisan,tu comprends maintenant,15,23
aha ha ha ha,ah ah ah ah ah ah ,12,18
jonle tun bi livru nunu kalan na,qui lisait encore des livres,32,28
o ɲɛna n yɛrɛ fana,eh bien moi non plus ,18,21
a kaɲ a kaɲ kosɔbɛ,c’est bien… c’est très bien,18,27
kalo kelen kɔnɔ a ya bɛɛ sɔrɔ ka dimi,en un mois il eut tout mangé,37,28
a ba fɛ cogo mi na,autant quil veuille,18,19
nunu ti kulon kɛ nan ye,ce ne sont pas des jouets,23,25
sini a bi nata jikɔnɔ fɛnw minɛw la,demain vous pêcherez,35,20
a bɔni lo ɲɔgɔnman siga tara,absolument identique,28,20
binaani ni naani,quarante quatre,16,15
barada nunu sera dolar ma,les travaux coutèrent dollars,25,29
a yi ta la,allez donc vous coucher,10,23
n bina kɔrɔsini fla kɛ,je ferai deux remarques,22,23
sigi yɔrɔ finman den naani,quatre chaises noires,26,21
i lanilo a ra ko tun ba fɛ wa,tu es sûr qu’ils aimèrent,29,25
a sigini le sɛnzɛn,elle est basée à shenzhen,18,25
bekani tu ma juguyara,loppression était moindre,21,25
frankfɔr sekɔra ka taga tuguni,francfort est repêché,30,21
bɛɛ lo,c’est tout le monde,6,19
famancɛ ani mu tuguni,le commissaire mais encore …,21,28
a bi mulo kɛra,questce que vous faites ,14,24
yani ba kalan na,yann est en train de lire,16,25
i kankan ka ni bla sena,tu doit mettre ça en place,23,26
a bi n wele sirana,elle mappelle lucifer,18,21
cɛ sirinan duuruna,une ceinture foncée,18,19
kanu le bi laban,aimer est un accomplissement,16,28
famanc dron buteli kelen,une bouteille de vin,24,20
a tun ta cogo kaɲi kojugu,très bien … ça marchait…,25,24
i lanino koɲani na wa,en estu bien sûr,21,16
o kan to yi,qu’on nous laisse ,11,18
ɔrɔbu nɛrɛmuguman n ma fɔ wuleman dɛ,une robe jaune et non rouge,36,27
jon lo bi na kila ka ban a kɛwale la,et qui le lui reprocherait,36,26
a be barakè hati low wa,vous travaillerez le dimanche,23,29
ah tena bi sega kalan,ah comme ça on peut lire ,21,25
kɔnkɔnni kɛla mɔgɔ naani,quatre sonneurs,24,15
a ye galon tigɛ wɛ,elle a donc menti,18,17
wagati bi tɛmɛ,le temps passe passe,14,20
mu ka man a malo faranilo,pourquoi êtesvous malpoli ,25,26
a bi kɔnɔnni kɛ lonbɛ,il attend tous les jours,21,24
livru damani,quelques livres,12,15
eriku tun bi fɛ ka lafiɛ,héricourt eût voulu souffler,24,28
a kuma na na barna kanye,sur le même ton brusque,24,23
a tɛmɛna a gɛrɛfɛ,il est parti de travers,17,23
ka to a dana nin no,mais cest défendu,19,17
a ka teriya tun bi na ten,il se hâtait machinalement,25,27
a tun datugula a yi dugu tama sira kalan,en prison il étudie le droit,40,28
ora an ka munkɛ,alors que faire,15,15
zezi kanu bagaw ka kuntigi,monseigneur lévêque,26,19
o ye donkili kan yɛlɛ caman,on met la musique trop fort,27,27
nin yɔrɔ ni tɔra dusukasila,la place resta morne,27,20
bana jan bana gwilimani bana juguman,longue lourde grave maladie,36,27
kɛlɛkɛlaw a bi na se ka kɛ ka se nin ma wa,soldats en ferezvous autant,42,27
a be di ipɔlit,comment vastu hippolyte,14,23
saa deeni ti fɔn yan,il ne manque pas un serpentin,20,29
a sigila ka tila ka weeleni kɛ,il se rassied et appelle,30,24
i bi lɔ na ye kɔsɔbɛ,je les assume parfaitement,20,26
selt ka sira beinheim,route de seltz à beinheim,21,25
a kadi n ye n ka ta fereyɔrɔ la,jaimerais aller au magasin,31,26
wa o ye furu sa banbali ye ,et cest un divorce éternel,27,26
pol gube bina sa kasɔrɔ a ka nafolo ban na,claude goubet mourra ruiné,42,26
nigɛkanya mankan bɔra kinibolo fɛ,on sonne à droite,33,17
se ko damayira,moins que peu presque rien,14,26
a tɔgɔ ko di ,quel nom avezvous ,13,18
ciri min kɛra kuruba kɔnɔ a yo ka kɛlɛkɛ minan bila yɔrɔ cin,lexplosion endommage la salle des torpilles du navire,60,53
a ka na yɛrɛ kɔrɔsi kojugu,ne soyez pas sur vos gardes,26,27
o ka mara dugu ba ye obiskop ye,son cheflieu est obispos,31,24
a ya nɔgɔya ka kalan ka yɛlɛma,il allège et il remplace,30,24
n ka miriya ta kaɲ,mon avis est donc favorable,18,27
ka sɔrɔ a bi fɛ ka barakɛ a taga boloɲuman kan,mais il se veut réaliste,46,24
kilo mugan ni klancɛ,vingt kilos et demi,20,19
a bi kasira nin ye n ba sɛbɛna,elle me pleure mécriaisje,30,25
an ti lafiɛna tuguni ni yɔrɔ ni na,on ne respire déjà plus ici,34,27
an bi fɛn dɔ kɛlɛla,vous combattez un outil,19,23
tile mana tuma gwan ni lo,les étés sont très chauds,25,25
sigi yorô min yi moissan é,rue roger moisan à chabris,26,26
tulon kɛ sɛ la ne le ma,c’est à moi de jouer,23,20
ne sigi ra,olberg fuit à vienne,10,20
ko mou,james et kip james,6,18
pan ko lkelé,un saut entre deux trains ,12,26
sira min bi tèmè poussin,chemin de poissy maule,24,22
ayi akè toiayi ni to akili la,notezle je vous prie,29,20
a ka bâ râ ké yoro dayè lê la wa,le magasin est ouvert ,32,22
wa kelé ni kèmè cbegi ni biworo,mille huit cent soixantesix,31,27
nin cɛyi lɔni lo a ka ji ben yɔrɔla,monsieur est sous sa cascade,35,28
nin ko ni cɛni bi na juguya ma,ce sera un échec cuisant,30,24
a bi kɛ sisan sisan,a tout à lheure,19,15
ba lamɛna,j’é j’é j’écoute,9,19
nin ko ni be yɛlɛbila kojugu,cest marrant ça,28,15
nin ko ni bi kɛra foo a daminɛ,et ce depuis le debut,30,21
i labɛn nin tɛ fɔlɔ a ɔnhɔn,tu nes pas prêt non,27,19
aw i na tunu,vous vous serez perdue ,12,23
muso ni sanji binana do,mais… s’il pleut madame ,23,24
wulumuso deni,une petite chienne,13,18
aba sen goro la lucien ka tapi kan,il se frotte les pieds sur le tapis lucien ,34,43
sira min bi bo unamendi,chemin dunamendi à urrugne,23,26
a flè i tara ni koni yé yoro mi na,voilà où tu en arrives ,34,23
o toun bâ kô,ils le suivaient,12,16
o tchèma,laquelle est la meilleure ,8,26
sogô ma da nigê kagna konon ton,neuf heures du matin,31,20
sira ka bô ario ka ta bo donssan,chemin des ariaux à donzac,32,26
o yèna pétunia,eh bien et pétunia ,14,19
nni bè bi a la,toute ma vie est en vous,14,24
aba bolo wa,lavezvous sur vous oui,11,22
ni yé tchogo kagni,l’avis est donc favorable,18,25
ni bi kalan kèra dibi konnon,elles bossent au noir,28,21
an bi ta an bâ filè,nous allons voir maman,19,22
anaïs ka mousso,anaïs femme de beauperthuis,15,27
ka ni bolo non bila ni kan,ne signe jamais cela,26,20
afrique djamanan ka fari golo djaga bôlaou,des sportives d’afrique,42,23
ah kila la aw ka kalan la wa,vous avez terminé vos études ,28,29
koni gèlè ya râ ne ma,moi c’est plus fort que moi…,21,28
poupe fitini,une petite fille,12,16
un toun kagni ka un yèrè siga a kora,j’aurais dû m’en douter,36,23
mi bɔ nin dugu kelen kelen nin na,je suis de ce pays,33,18
an bi kè mogo djoli,combien seronsnous ,19,19
an be ta,allons ensemble,8,15
ni gè bin bolo,j’ai une paire de ciseaux,14,25
a kaɲ dɔɔni,plus ou moins bien,11,18
amɔnt diboi kreɔn bi nana,armand de boiscréault arrive,25,28
a kɔrɔmuso tɔgɔko dan,elle a un frère aîné dan,21,24
a bina tile fila kɛ,il dure deux jours,19,18
i ya fô a ya na,pourquoi lui mentir,15,19
an sègè la doni,nous sommes assez fatigués,15,26
nan ye jurumu ko kɛ,si nous pêchions,19,16
zizi yi mou fen leyé,qu’estce que c’est que zizi ,20,28
tchè baba wou,les grands garçons,13,18
ouya kalan ka kankorôta,lisezles à voix haute,23,21
o tina sigen fiyo,ils n’en ont jamais assez,17,25
a ka koyan kèra songo dourou,il a été marié cinq fois,28,24
o kèrè fê,elles ont été aimées,9,20
a bi ayèrè minè na,il reste cependant réserviste,18,29
moulo bi aw râ,questce que vous avez ,14,22
a kèra fè,elle elle est aimée,9,19
fogayè baou fo,très bien je vous remercie,14,26
kana na yan,ne viens pas ici,11,16
a li n ga fɛn samanan,même mon aspirateur,21,19
sran odte,rue aubry au numéro cinq,9,24
ko ko juma lo bé yi,de quoi estil question ,19,23
kɔrɔlen ko,la plus ancienne,10,16
dɔktɛr ge ka tɛmɛsira min be yi andevil,rue du docteur gey à andeville,39,30
o minw yi ɲɔgɔnw tara nin dansawo nin na o bi fili,les candidates se trompent,50,26
bisaba ani kelen kalansɛbɛ papiye fiman,trente et un livres noirs,39,25
soyɔrɔ bonda dɔw ra,à certains endroits,19,19
n bi dumuni kɛra,je suis en train de manger,16,26
a ka ɲi kojugu,cest trop beau,14,14
pakof ko ten a ɲɛna,bien dit répliqua pencroff,19,27
ali juru sara sira kan,pas même pour la vengeance,22,26
sil yɔrɔman lɔ nin kɔfɛ,en dehors de lhôtel,23,19
a sara st ra,il est mort à st,12,16
ekipu kuntigi tun bi kumana,dit le capitaine,27,16
bɔb diran kanu bagaw dɔlo,cest un fan de bob dylan,25,24
ko bi se kana,qu’elles viennent ,13,18
kanuɲɔgɔn,l’amour du prochain,9,19
a kilara mɔgɔ duuru nan,ils finissent cinquièmes,23,24
dugumakolo papie foyi tun ta fɛ,il ne possédait plus un sol,31,27
n lanilo a ra ko kanu be yi,je suis sûr que nous aimâmes,27,28
ka na ninyɔrɔlako ta nin yɔrɔ nin na,enlève tous ces journaux,36,24
i dɔgɔmuso kun ko ka dan ye,nous aimâmes ta sœur,27,20
loon jumɛ le a bi nana,cydalise en était sûre,22,22
kɔnɔnada yɛrɛ,le calorifère est allumé ,13,25
a sera wagati ra,je cours mettre mon bonnet,16,26
n lanido a ra ko bi na diya i ye,c’est bon comme ça,32,18
a bi n ni n ka barakɛla minɛ kaɲɛ,il est où mon ouvrier capturé,33,29
a ba ti ɲɔgɔnfɛ,il tousse à part,15,16
a ti foyi ɲɛ,c’est pas juste,12,15
ne taw le,cest les miennes,9,16
o sɔnna nan ye,ils sont d’accord avec nous,14,27
iyi doussou kassi,à quel étage habitezvous ,17,25
a diara n ye wa,rue pierre sellier beaucourt,15,28
inikɛla wuleman dɔ ye n laminɛ,les impôts nous avalent tout,30,29
ele lo wa,la nuit était encore obscure,9,29
a ɲɛna peu,rue roger renard à hierges,10,26
sanji bi nana wa ,estce qu’il pleut ,17,18
a tɔtora sanu wo,il reste le musée de la mine,16,28
a ta lo,il était donc inhabité,7,22
a bi la wiskɔnsɛn ra,nous vivons au wisconsin,20,24
ɲanyɔrɔ kanɲi,l’emplacement est idéal,13,23
i lanilo a ra ka tun diara ye wa,javoue quils nont pas tort,32,26
n kasira a kama,puisque je lai pleuré ,15,22
midi tuma na zulien nana,cen est donc fait,24,17
n ye ta fataleen sɔrɔ,avec un soupir d’étouffement,21,28
a tun ye kunko tigi ye,elle était une énigme,22,21
nin janin yan fe yi,ce maigre làbas,19,15
teregoriw ye mɔgɔ darabɔlaw ye,les trégorois sont moqueurs,30,27
josi nunuguw yi deenmisɛ ye,joo sehyuk a eu un enfant,27,25
kasadiara dɔɔni,un peu de parfum,15,16
nɛnɛ be yi bi,nous nous lisons,13,16
siginan wɔrɔ nɛrɛmuguman cɛjuguni,bon on va boire un coup,33,23
n ka bara kè la,tu as une mine superbe,15,22
a bɛɛ yi ɲɔngɔnfɛ,tu es sûr quelle aime,17,21
an kanɲ ka nin fɔ a ye,tu es sûr quelle aima,22,21
gilasi bɔɔra sangolola ka ben kunu,jai beaucoup deau,34,17
a ka sira bi see dan,jai dévasté mon cœur,20,20
ɔhɔ sisan sisan,lenora le croit mort,15,20
a bi a kalan na,elle continuera de l’être,15,25
a bi komi a ka di,ça a l’air intéressant,17,22
a kɛra komi n tun saara,cest comme si jétais mort,23,25
cogo jumana kɔngɔ ti ra,comment ça tas plus faim,23,24
sigi yɔrɔ kapɛl milo,place de la capelle millau,20,26
laɲini dɔw bi ne fɛ,allée a sabina borgo,19,20
lɔɔ ni nin kɛra a bi na segi ka kɛ,cela vous plait ,34,16
nin kanɲ,amendement de conséquence,8,25
a ka gwɛlɛn n ma ka fasa,jai du mal à perdre du poids,24,28
an yi vɛn dɔ san ya,vous pouvez me trouver,19,22
ne ye jɔn le ye a kɔ,que suisje auprès de lui,20,24
a bi se ka kɛ fo ka ɲɛ,où voulaistu que lon aille ,22,27
a cɛkaɲi foo ka tɛmɛ,elle est vraiment grande,20,24
ɔnhɔn a kɛra,il évoluait en persha liha,12,26
n sɔnna i ta ma,tournez à droite,15,16
o bi balola fitini la,cest fort politique,21,19
a bi dugu deenw famu,je ne vais qu’à l’église,20,26
a ye kuma madam bɛrland fɛ,tourner sur ellemême,26,20
a bi na kɛ i dɔgɔni fɛ,ca ne fait rien…,22,16
i kɔ so kan,je n’entendais pas la cloche,11,28
a kɛra kunfɛ ko ye dɔɔni,pour ce que ça vous rapporte,24,28
a bi tugura,elle fait semblant,11,18
o sɔn na ni an ye,omer en juge autrement,17,22
dɔngilila papie,avenue charlotte corday à caen,15,30
i bé mule fɛ a fɛ,ah ça parlons raison,17,20
keni ko foyi,j’ai perdu dit nicholl,12,22
mu le bi nin ra,questce qui lui prend ,15,22
sirayan kan,d’une voix angoissée,11,20
dugu dɔ bɔda ra,a part en sortant,15,17
dugu dɔ bɔdara,six allée du maréchal juin,14,26
a tɔ tora sanu kuruwo,il la vit par le carreau,21,24
kongofɛn babaw dow,dautres grands animaux,18,22
a dɔ ti fɛ wa,tout cela demande du temps,13,26
sanni dɔni a bi aw kan wili,ta paire de lunettes,27,20
n bi na kule yiri sanfɛ,un temps on sonne,23,17
n teri i bi na taga n ka pilasira,rue jacques bourgeois à dieppe,33,30
yan ni wagatidɔ o bi na sɔnerikɛ,son chef lieu est zwickau,32,25
anw ka sirayan boɲɛna,notre crainte est double,21,24
adeline bi tapi gilan,un tapissier à adeline,21,22
a ni sɔgɔma muso cɛɲumani,bonjou bonjou belle dame,25,24
an ka miriyata ye kuma ye,que pensezvous ,25,15
sanji bi nana wa,à quelle vitesse roulaitil ,16,27
n bi na duminikɛ ka sababuya kɛ kɔgɔ bi n na,ça me fait mal ici,44,18
hann a kaɲ,vingt rue alfred longuefosse,10,28
i tun ya sɛbɛ,tu lui avais donc écrit …,13,25
monternel ye dugu dɔ ye,montfermeil cest un pays,23,24
n ma delikani kɛ,je n’ai jamais fait ça encore,16,29
a bi mulo ɲinina,vous vous avez été aimé,16,23
a ye n ga miriya ta janya,elle ma fait beaucoup rêver,25,27
ka kalan kɛ ka se ka dɛmɛni kɛ,sinstruire pour servir,30,22
a bi nana wa,ils ont vu et appris,12,20
an bi jɛkulu min na,dans l’état où nous sommes,19,26
a kɔrɔsibaga bi tugula kɔ,lon sapprêta pour le départ,25,27
a diyara n ye kojugu,rue j f chalgrin à versailles,20,29
anw taa le,peutêtre que jirai,10,18
kɛlɛ ni man nɔgɔ,le combat est dur,16,17
awa le ya ka pilasi ta,elle jouait avec elle,22,21
ni yi suguru juma le ye,comme il est fort ,23,18
a ba yira ko a kilara,ca prouve qu’il est prêt ,21,25
livru nɛrɛmuguman,le livre le plus jaune,17,22
bara ɲɛna,les affaires sont bonnes,9,24
n ba fɔra kaɲɛ wa,tu es sûr quelle aimait,17,23
a ti kɔnɔni kɛ tuguni,proposa le comte,21,16
varɛnn na do,et à la varenne ,12,16
pine gilanlaw,veuxtu mon avis …,13,17
e bamuso sɔkɔra ka fɔ ne ye,vous nêtes pas du pays non,27,26
a kɔrɔni lo ni ne ye,il décède le à lyonslaforêt,20,27
a fana kèrè kaman je la,le pastis est un dessert,23,24
astuce yi kongo yé,le moule en est brise,18,21
fen djèni k1ssa,j’en ai ma claque,15,17
kasa dia nan dɔɔni,je suis en train de lire,18,24
nin de ye ne ta ye,cest cellelà la mienne,18,22
an bi ko dɔɔni mɛ,on entendit peu de choses,17,25
ani kalayiri diko sira,comment vous appelezvous ,22,25
a ka jaa,phototypie par a,8,16
jii bɔra san golo la ka ben,il a neigé hier ,27,16
finɛl ka sira binaani,quarante chemin de finelle,21,26
n binana na lamagani ye,trente rue de samerey,23,21
tapideni bi adeline ,un tapissier à adeline,20,22
nin ye fugatɔ fila ye,ce sont deux hommes farfelus,21,28
ka ni ka bolonɔn bila nin ra fasi,ne signe jamais cela,33,20
a cɛ ka ɲi,extrêmement beau,10,16
a bi dugudenw faamu,il comprend habitants,19,21
a bi mun lo dɔn a ra,qu’estce que vous en savez ,20,27
kamele mugan ni saba,vingt trois gars,20,16
